FPR,TPR,Thresholds
0.0,0.0,inf
0.0,0.633003300330033,1.0
0.0,0.6376237623762376,0.9999999
0.0,0.6382838283828383,0.99999976
0.0,0.6402640264026402,0.99999964
0.0,0.640924092409241,0.9999995
0.0,0.6422442244224422,0.9999994
0.0,0.642904290429043,0.9999993
0.0,0.643894389438944,0.99999917
0.0,0.6445544554455446,0.9999989
0.0,0.6452145214521452,0.99999845
0.0,0.6462046204620462,0.9999981
0.0,0.6468646864686468,0.99999726
0.0,0.6481848184818482,0.999997
0.0,0.6511551155115511,0.9999951
0.0,0.6518151815181518,0.9999949
0.0,0.6607260726072607,0.9999752
0.0,0.6613861386138614,0.9999751
0.0,0.6636963696369637,0.99995995
0.0,0.6643564356435644,0.9999502
0.0,0.666006600660066,0.99988604
0.0026402640264026403,0.666006600660066,0.9998853
0.0026402640264026403,0.667986798679868,0.99986947
0.0026402640264026403,0.6686468646864686,0.9998691
0.0026402640264026403,0.6696369636963696,0.9998574
0.0026402640264026403,0.6706270627062706,0.999856
0.0026402640264026403,0.6851485148514852,0.99939454
0.005280528052805281,0.6851485148514852,0.999343
0.005280528052805281,0.6864686468646864,0.9991702
0.007260726072607261,0.6864686468646864,0.99914753
0.007260726072607261,0.689108910891089,0.99897754
0.009900990099009901,0.689108910891089,0.9989661
0.009900990099009901,0.6917491749174918,0.99870026
0.01353135313531353,0.6917491749174918,0.9986786
0.01353135313531353,0.6937293729372938,0.99843174
0.015511551155115511,0.6937293729372938,0.99834037
0.015511551155115511,0.6983498349834983,0.9976156
0.01749174917491749,0.6983498349834983,0.9975573
0.01749174917491749,0.7099009900990099,0.99170285
0.02013201320132013,0.7099009900990099,0.9917001
0.02013201320132013,0.7151815181518152,0.98242146
0.02013201320132013,0.7158415841584158,0.9821046
0.02013201320132013,0.7198019801980198,0.97553635
0.0231023102310231,0.7198019801980198,0.97509164
0.0231023102310231,0.7273927392739274,0.95360947
0.026402640264026403,0.7277227722772277,0.9529011
0.026402640264026403,0.7303630363036303,0.939465
0.02838283828382838,0.7303630363036303,0.93804413
0.02838283828382838,0.7412541254125412,0.79588825
0.030693069306930693,0.7415841584158416,0.7950439
0.030693069306930693,0.7501650165016501,0.6005982
0.03399339933993399,0.7501650165016501,0.58963495
0.03399339933993399,0.7521452145214521,0.55200094
0.036963696369636964,0.7521452145214521,0.54860485
0.036963696369636964,0.7524752475247525,0.5459748
0.04026402640264026,0.7524752475247525,0.5358855
0.04026402640264026,0.7597359735973598,0.34966433
0.04257425742574258,0.76006600660066,0.34835044
0.04257425742574258,0.7623762376237624,0.3237737
0.044884488448844885,0.7623762376237624,0.31954277
0.044884488448844885,0.7627062706270628,0.31685996
0.048184818481848184,0.763036303630363,0.31249356
0.0504950495049505,0.763036303630363,0.3112196
0.0504950495049505,0.7633663366336634,0.30949065
0.05313531353135314,0.7636963696369637,0.30482098
0.05313531353135314,0.7646864686468647,0.29799217
0.05577557755775578,0.765016501650165,0.2957944
0.05577557755775578,0.767986798679868,0.28043818
0.05742574257425743,0.767986798679868,0.28008345
0.06006600660066007,0.7683168316831683,0.27921802
0.06006600660066007,0.7686468646864687,0.27832216
0.06303630363036304,0.768976897689769,0.2756614
0.06534653465346535,0.768976897689769,0.27479008
0.06534653465346535,0.76996699669967,0.27001253
0.06864686468646865,0.7702970297029703,0.26797402
